Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_li,LiSites,CounterIonSites,results_per_counter_ion,Result
Ge,72.63,211,2.01,7.9,1.35,40,0.013903842,0.013903842,30,8,0.013903842,13.90384209
Zn,65.4,139,1.65,9.394,0,38.67,0.01696786,0.01696786,6,2,0.01696786,16.96786028
Pb,207,202,2.33,7.417,0.36,57,0.004986588,0.004986588,1,3,0.004986588,4.986587856
Mo,95.95,209,2.16,7.092,0.746,87,0.001369367,0.001369367,3,1,0.001369367,1.369366762
Li,7,182,0.98,5.392,0.618,164.1125,0.018816124,0.018816124,88,88,0.018816124,18.81612443
Sm,150.4,229,1.17,5.644,0,192,0.017350697,0.017350697,6,2,0.017350697,17.3506973
Al,26.981538,184,1.61,5.986,0.441,57.8,0.010511436,0.010511436,1,3,0.010511436,10.51143593
Mg,24.305,173,1.31,7.646,0,71.2,0.014398085,0.014398085,2,4,0.014398085,14.39808479
Mg,24.305,173,1.31,7.646,0,71.2,0.018210532,0.018210532,4,2,0.018210532,18.2105324
Ga,69.723,187,1.81,5.999,0.3,50,0.011355287,0.011355287,4,8,0.011355287,11.35528705
Cd,112.41,158,1.69,8.994,0,46,0.008541697,0.008541697,2,6,0.008541697,8.541696518
Pt,195.08,209,2.28,9,2.128,48,0.009840966,0.009840966,1,1,0.009840966,9.840965767
Sb,121.76,206,2.05,8.64,1.07,43,0.009598265,0.009598265,12,6,0.009598265,9.598265034
Al,26.981538,184,1.61,5.986,0.441,57.8,0.016756457,0.016756457,4,2,0.016756457,16.75645732
B,10.81,192,2.04,8.298,0.277,20.5,0.010850143,0.010850143,2,2,0.010850143,10.85014254
As,74.92159,185,2.18,9.815,0.81,30,0.011737965,0.011737965,27,10,0.011737965,11.73796531
Te,127.6,206,2.1,9.01,1.971,38,0.003666384,0.003666384,12,36,0.003666384,3.666383575
Pu,244.0642,243,1.28,6.06,0,145,0.01702389,0.01702389,3,1,0.01702389,17.02388971
Li,7,182,0.98,5.392,0.618,164.1125,0.018422753,0.018422753,6,6,0.018422753,18.42275305
Lu,174.9667,221,1.27,5.426,0,137,0.017314652,0.017314652,6,2,0.017314652,17.31465157
Li,7,182,0.98,5.392,0.618,164.1125,0.001797772,0.001797772,1,1,0.001797772,1.797771892
Pm,144.91276,236,0,5.55,0,200,0.025436807,0.025436807,3,1,0.025436807,25.43680674
Mg,24.305,173,1.31,7.646,0,71.2,0.018123144,0.018123144,5,1,0.018123144,18.12314384
Ag,107.868,172,1.93,7.576,1.302,55,0.01122542,0.01122542,2,2,0.01122542,11.22541955
Sn,118.71,217,1.96,7.344,1.2,53,0.012759771,0.012759771,85,20,0.012759771,12.75977133
As,74.92159,185,2.18,9.815,0.81,30,0.011587267,0.011587267,6,2,0.011587267,11.58726731
B,10.81,192,2.04,8.298,0.277,20.5,0.001000837,0.001000837,3,1,0.001000837,1.000837333
Zn,65.4,139,1.65,9.394,0,38.67,0.003970924,0.003970924,2,26,0.003970924,3.970923825
Be,9.012183,153,1.57,9.323,0,37.74,0.016525939,0.016525939,3,1,0.016525939,16.52593911
Mg,24.305,173,1.31,7.646,0,71.2,0.018406,0.018406,5,1,0.018406,18.40600007
Sn,118.71,217,1.96,7.344,1.2,53,0.002214985,0.002214985,4,10,0.002214985,2.214984862
O,15.999,152,3.44,13.618,1.461,5.3,0.01134346,0.01134346,8,4,0.01134346,11.34346041
Ga,69.723,187,1.81,5.999,0.3,50,0.011630238,0.011630238,2,6,0.011630238,11.63023842
Ir,192.22,202,2.2,9.1,1.565,54,0.013023588,0.013023588,1,1,0.013023588,13.02358837
Al,26.981538,184,1.61,5.986,0.441,57.8,0.016997657,0.016997657,9,4,0.016997657,16.99765731
Pt,195.08,209,2.28,9,2.128,48,0.007520572,0.007520572,1,3,0.007520572,7.520572069
Mg,24.305,173,1.31,7.646,0,71.2,0.014511333,0.014511333,1,3,0.014511333,14.51133272
Pd,106.42,202,2.2,8.337,0.557,26.14,0.015331267,0.015331267,1,7,0.015331267,15.3312667
I,126.9045,198,2.66,10.451,3.059,32.9,0.004840869,0.004840869,2,2,0.004840869,4.84086909
Ca,40.08,231,1,6.113,0,160.8,0.006825104,0.006825104,2,8,0.006825104,6.825104483
Eu,151.964,233,0,5.67,0,184,0.026473654,0.026473654,1,3,0.026473654,26.47365448
Rh,102.9055,195,2.28,7.459,1.137,66,0.00089385,0.00089385,6,2,0.00089385,0.893850402
Ga,69.723,187,1.81,5.999,0.3,50,0.00841424,0.00841424,4,14,0.00841424,8.41424049
B,10.81,192,2.04,8.298,0.277,20.5,0.00108793,0.00108793,2,2,0.00108793,1.087929534
Tl,204.383,196,1.62,6.108,0.2,66,0.012824262,0.012824262,12,12,0.012824262,12.82426205
Pa,231.03588,243,1.5,5.89,0,200,0.017147676,0.017147676,1,1,0.017147676,17.14767638
Al,26.981538,184,1.61,5.986,0.441,57.8,0.010545758,0.010545758,1,3,0.010545758,10.54575783
Pu,244.0642,243,1.28,6.06,0,145,0.014716199,0.014716199,1,3,0.014716199,14.71619906
O,15.999,152,3.44,13.618,1.461,5.3,0.009555846,0.009555846,68,34,0.009555846,9.555845816
Mg,24.305,173,1.31,7.646,0,71.2,0.012655036,0.012655036,2,4,0.012655036,12.65503591
Ge,72.63,211,2.01,7.9,1.35,40,0.013490811,0.013490811,88,20,0.013490811,13.49081143
Ga,69.723,187,1.81,5.999,0.3,50,0.011778104,0.011778104,1,3,0.011778104,11.77810402
Mg,24.305,173,1.31,7.646,0,71.2,0.016940385,0.016940385,4,2,0.016940385,16.94038455
O,15.999,152,3.44,13.618,1.461,5.3,0.003331843,0.003331843,1,3,0.003331843,3.331843271
Y,88.90584,219,1.22,6.217,0.307,162,0.024662017,0.024662017,1,3,0.024662017,24.66201701
N,14.007,155,3.04,14.534,0,7.4,0.005724904,0.005724904,1,1,0.005724904,5.724903679
C,12.011,170,2.55,11.26,1.263,11.3,0.007605116,0.007605116,2,2,0.007605116,7.605116398
Pb,207,202,2.33,7.417,0.36,57,0.007698735,0.007698735,1,1,0.007698735,7.698734913
Mg,24.305,173,1.31,7.646,0,71.2,0.018217075,0.018217075,3,1,0.018217075,18.21707483
I,126.9045,198,2.66,10.451,3.059,32.9,0.003403658,0.003403658,2,2,0.003403658,3.403657575
Er,167.26,235,1.24,6.108,0,150,0.01976248,0.01976248,2,6,0.01976248,19.76248012
Ho,164.93033,216,1.23,6.022,0,156,0.018495497,0.018495497,6,2,0.018495497,18.49549701
In,114.818,193,1.78,5.786,0.3,65,0.017825646,0.017825646,26,6,0.017825646,17.82564599
Pt,195.08,209,2.28,9,2.128,48,0.013194852,0.013194852,3,1,0.013194852,13.19485217
Mg,24.305,173,1.31,7.646,0,71.2,0.016659185,0.016659185,2,4,0.016659185,16.65918482
Ce,140.116,235,1.12,5.539,0.5,205,0.012910891,0.012910891,3,1,0.012910891,12.91089139
O,15.999,152,3.44,13.618,1.461,5.3,0.009517319,0.009517319,2,1,0.009517319,9.517318788
Dy,162.5,229,1.22,5.939,0,163,0.030457108,0.030457108,1,3,0.030457108,30.45710824
Sn,118.71,217,1.96,7.344,1.2,53,0.012070798,0.012070798,14,4,0.012070798,12.07079846
Ca,40.08,231,1,6.113,0,160.8,0.016313801,0.016313801,2,6,0.016313801,16.31380139
S,32.07,180,2.58,10.36,2.077,19.4,0.000428501,0.000428501,2,8,0.000428501,0.428501199
Nb,92.90637,207,1.6,6.759,0.893,98,0.019700427,0.019700427,6,2,0.019700427,19.70042738
Cl,35.45,175,3.16,12.968,3.617,14.6,0.006963457,0.006963457,4,4,0.006963457,6.963457131
O,15.999,152,3.44,13.618,1.461,5.3,0.000777265,0.000777265,1,8,0.000777265,0.777265243
Be,9.012183,153,1.57,9.323,0,37.74,0.016261512,0.016261512,6,2,0.016261512,16.26151217
Hg,200.59,209,2,10.438,0,33,0.013026191,0.013026191,3,1,0.013026191,13.02619139
N,14.007,155,3.04,14.534,0,7.4,0.002737342,0.002737342,1,3,0.002737342,2.737342171
Tb,158.92535,221,0,5.864,0,170,0.028680643,0.028680643,1,3,0.028680643,28.68064331
Li,7,182,0.98,5.392,0.618,164.1125,0.017732723,0.017732723,1,1,0.017732723,17.7327225
Si,28.085,210,1.9,8.152,1.385,37.3,0.007509397,0.007509397,8,8,0.007509397,7.509397115
Ni,58.693,163,1.91,7.64,1.156,49,0.002132308,0.002132308,3,1,0.002132308,2.132307966
Ge,72.63,211,2.01,7.9,1.35,40,0.012770134,0.012770134,14,4,0.012770134,12.77013415
Mg,24.305,173,1.31,7.646,0,71.2,0.014538195,0.014538195,2,4,0.014538195,14.53819548
Si,28.085,210,1.9,8.152,1.385,37.3,0.000570098,0.000570098,8,8,0.000570098,0.57009843
Au,196.96657,166,2.54,9.226,2.309,36.06,0.008695422,0.008695422,1,1,0.008695422,8.695421511
Cd,112.41,158,1.69,8.994,0,46,0.015468942,0.015468942,3,1,0.015468942,15.46894221
Cd,112.41,158,1.69,8.994,0,46,0.008767371,0.008767371,1,3,0.008767371,8.767371382
Br,79.9,183,2.96,11.814,3.365,21,0.006728261,0.006728261,1,1,0.006728261,6.728260554
In,114.818,193,1.78,5.786,0.3,65,0.015888586,0.015888586,4,2,0.015888586,15.88858573
Mg,24.305,173,1.31,7.646,0,71.2,0.013220937,0.013220937,1,5,0.013220937,13.22093701
Al,26.981538,184,1.61,5.986,0.441,57.8,0.002772231,0.002772231,7,6,0.002772231,2.772231423
Pt,195.08,209,2.28,9,2.128,48,0.00734368,0.00734368,1,7,0.00734368,7.343680235
B,10.81,192,2.04,8.298,0.277,20.5,0.005131716,0.005131716,1,11,0.005131716,5.131716347
Ho,164.93033,216,1.23,6.022,0,156,0.016820604,0.016820604,2,6,0.016820604,16.82060444
In,114.818,193,1.78,5.786,0.3,65,0.014111201,0.014111201,2,2,0.014111201,14.11120109
Mg,24.305,173,1.31,7.646,0,71.2,0.01526455,0.01526455,3,3,0.01526455,15.26455044
Ca,40.08,231,1,6.113,0,160.8,0.020655197,0.020655197,3,1,0.020655197,20.6551975
S,32.07,180,2.58,10.36,2.077,19.4,0.000428501,0.000428501,2,8,0.000428501,0.428501199
Ge,72.63,211,2.01,7.9,1.35,40,0.010151166,0.010151166,22,12,0.010151166,10.15116601
O,15.999,152,3.44,13.618,1.461,5.3,0.009505084,0.009505084,68,34,0.009505084,9.505084008
Mg,24.305,173,1.31,7.646,0,71.2,0.016237858,0.016237858,2,4,0.016237858,16.23785831
F,18.99840316,135,3.98,17.423,3.339,3.74,0.003376121,0.003376121,2,6,0.003376121,3.376121453
Ac,227.02775,260,1.1,5.17,0,282,0.01546727,0.01546727,3,1,0.01546727,15.4672697
Li,7,182,0.98,5.392,0.618,164.1125,0.019335571,0.019335571,23,23,0.019335571,19.33557134
Ca,40.08,231,1,6.113,0,160.8,0.019297415,0.019297415,8,4,0.019297415,19.29741539
Sb,121.76,206,2.05,8.64,1.07,43,0.005112643,0.005112643,1,3,0.005112643,5.112642711
La,138.9055,240,1.1,5.577,0.5,215,0.020837966,0.020837966,2,6,0.020837966,20.83796558
Ag,107.868,172,1.93,7.576,1.302,55,0.014062172,0.014062172,3,1,0.014062172,14.06217159
Li,7,182,0.98,5.392,0.618,164.1125,0.001991284,0.001991284,1,1,0.001991284,1.991283824
Mg,24.305,173,1.31,7.646,0,71.2,0.013034459,0.013034459,4,12,0.013034459,13.03445875
Zn,65.4,139,1.65,9.394,0,38.67,0.015169747,0.015169747,3,1,0.015169747,15.16974695
Ga,69.723,187,1.81,5.999,0.3,50,0.003947386,0.003947386,5,4,0.003947386,3.94738562
Ag,107.868,172,1.93,7.576,1.302,55,0.009729185,0.009729185,1,3,0.009729185,9.729184782
Mg,24.305,173,1.31,7.646,0,71.2,0.016591063,0.016591063,2,2,0.016591063,16.59106325
Sn,118.71,217,1.96,7.344,1.2,53,0.001640482,0.001640482,6,6,0.001640482,1.640481756
B,10.81,192,2.04,8.298,0.277,20.5,0.005296505,0.005296505,1,11,0.005296505,5.296505289
Yb,173.05,242,0,6.254,0,139,0.026428502,0.026428502,1,3,0.026428502,26.42850202
Mg,24.305,173,1.31,7.646,0,71.2,0.015601807,0.015601807,2,4,0.015601807,15.60180724
Mg,24.305,173,1.31,7.646,0,71.2,0.018217964,0.018217964,3,1,0.018217964,18.21796387
Mg,24.305,173,1.31,7.646,0,71.2,0.017734776,0.017734776,5,1,0.017734776,17.73477612
N,14.007,155,3.04,14.534,0,7.4,0.010151537,0.010151537,2,1,0.010151537,10.15153668
Pt,195.08,209,2.28,9,2.128,48,0.009887302,0.009887302,8,2,0.009887302,9.887301562
Cr,51.996,189,1.66,6.767,0.666,83,0.001499234,0.001499234,3,1,0.001499234,1.499234133
Th,232.038,237,1.3,6.08,0,240,0.015954078,0.015954078,3,1,0.015954078,15.95407804
Rh,102.9055,195,2.28,7.459,1.137,66,0.016699025,0.016699025,1,1,0.016699025,16.69902502
Ga,69.723,187,1.81,5.999,0.3,50,0.006936489,0.006936489,3,14,0.006936489,6.936488866
Bi,208.9804,207,2.02,7.289,0.946,53,0.010853074,0.010853074,6,2,0.010853074,10.853074
O,15.999,152,3.44,13.618,1.461,5.3,0.001062096,0.001062096,1,1,0.001062096,1.062096394
Y,88.90584,219,1.22,6.217,0.307,162,0.024293212,0.024293212,1,3,0.024293212,24.29321153
O,15.999,152,3.44,13.618,1.461,5.3,0.000886982,0.000886982,1,2,0.000886982,0.886982009
Pt,195.08,209,2.28,9,2.128,48,0.010832018,0.010832018,2,4,0.010832018,10.83201835
Ag,107.868,172,1.93,7.576,1.302,55,0.013516005,0.013516005,6,2,0.013516005,13.51600529
N,14.007,155,3.04,14.534,0,7.4,0.005630179,0.005630179,4,4,0.005630179,5.630178644
Be,9.012183,153,1.57,9.323,0,37.74,0.016477628,0.016477628,1,1,0.016477628,16.47762755
O,15.999,152,3.44,13.618,1.461,5.3,0.000816128,0.000816128,1,8,0.000816128,0.816128372
W,183.84,210,2.36,7.98,0.815,68,0.001024387,0.001024387,6,2,0.001024387,1.024387236
Tb,158.92535,221,0,5.864,0,170,0.003877687,0.003877687,6,2,0.003877687,3.877686919
Te,127.6,206,2.1,9.01,1.971,38,0.013586722,0.013586722,6,2,0.013586722,13.58672233
Gd,157.25,237,1.2,6.15,0,158,0.019037769,0.019037769,6,2,0.019037769,19.03776881
Sn,118.71,217,1.96,7.344,1.2,53,0.002492741,0.002492741,1,3,0.002492741,2.492740608
Si,28.085,210,1.9,8.152,1.385,37.3,0.001885589,0.001885589,2,6,0.001885589,1.885588668
Mg,24.305,173,1.31,7.646,0,71.2,0.015270827,0.015270827,2,6,0.015270827,15.27082717
Mn,54.93804,197,1.55,7.434,0,68,0.003149005,0.003149005,1,1,0.003149005,3.14900461
Al,26.981538,184,1.61,5.986,0.441,57.8,0.01059106,0.01059106,4,8,0.01059106,10.59106042
P,30.973762,180,2.19,10.487,0.746,25,0.001508789,0.001508789,8,56,0.001508789,1.508789466
As,74.92159,185,2.18,9.815,0.81,30,0.003371543,0.003371543,48,112,0.003371543,3.37154308
Li,7,182,0.98,5.392,0.618,164.1125,0.018141579,0.018141579,2,2,0.018141579,18.14157866
Zn,65.4,139,1.65,9.394,0,38.67,0.015143065,0.015143065,3,1,0.015143065,15.14306507
Mg,24.305,173,1.31,7.646,0,71.2,0.016443794,0.016443794,4,1,0.016443794,16.44379419
Sb,121.76,206,2.05,8.64,1.07,43,0.011596459,0.011596459,6,2,0.011596459,11.59645857
I,126.9045,198,2.66,10.451,3.059,32.9,0.004735737,0.004735737,1,1,0.004735737,4.735737423
Ag,107.868,172,1.93,7.576,1.302,55,0.009709873,0.009709873,1,3,0.009709873,9.709873038
Pd,106.42,202,2.2,8.337,0.557,26.14,0.017489976,0.017489976,3,1,0.017489976,17.48997622
Mg,24.305,173,1.31,7.646,0,71.2,0.016232284,0.016232284,4,2,0.016232284,16.23228384
Ge,72.63,211,2.01,7.9,1.35,40,0.00136574,0.00136574,8,8,0.00136574,1.365739891
Si,28.085,210,1.9,8.152,1.385,37.3,0.000676246,0.000676246,4,2,0.000676246,0.676246296
Ni,58.693,163,1.91,7.64,1.156,49,0.003126961,0.003126961,1,3,0.003126961,3.126961304
Mg,24.305,173,1.31,7.646,0,71.2,0.015932021,0.015932021,2,4,0.015932021,15.93202093
Ho,164.93033,216,1.23,6.022,0,156,0.017937147,0.017937147,1,3,0.017937147,17.93714681
Yb,173.05,242,0,6.254,0,139,0.022557767,0.022557767,6,2,0.022557767,22.55776708
Mg,24.305,173,1.31,7.646,0,71.2,0.015194491,0.015194491,2,4,0.015194491,15.19449121
Si,28.085,210,1.9,8.152,1.385,37.3,0.001197946,0.001197946,2,2,0.001197946,1.197946015
Sn,118.71,217,1.96,7.344,1.2,53,0.012310689,0.012310689,88,20,0.012310689,12.31068856
Eu,151.964,233,0,5.67,0,184,0.019344519,0.019344519,6,2,0.019344519,19.34451896
S,32.07,180,2.58,10.36,2.077,19.4,0.007274795,0.007274795,4,2,0.007274795,7.274794632
N,14.007,155,3.04,14.534,0,7.4,0.011910686,0.011910686,6,2,0.011910686,11.91068552
O,15.999,152,3.44,13.618,1.461,5.3,0.0008671,0.0008671,1,8,0.0008671,0.867099573
Pm,144.91276,236,0,5.55,0,200,0.017192653,0.017192653,6,2,0.017192653,17.19265281
O,15.999,152,3.44,13.618,1.461,5.3,0.006586405,0.006586405,4,4,0.006586405,6.586405475
Mg,24.305,173,1.31,7.646,0,71.2,0.013225633,0.013225633,1,5,0.013225633,13.22563255
Cu,63.55,140,1.9,7.726,1.228,46.5,0.017449007,0.017449007,3,1,0.017449007,17.44900743
Er,167.26,235,1.24,6.108,0,150,0.018466139,0.018466139,6,2,0.018466139,18.46613853
S,32.07,180,2.58,10.36,2.077,19.4,0.007670951,0.007670951,1,1,0.007670951,7.670950984
Te,127.6,206,2.1,9.01,1.971,38,0.009249914,0.009249914,2,1,0.009249914,9.249914298
B,10.81,192,2.04,8.298,0.277,20.5,0.001922022,0.001922022,2,6,0.001922022,1.922022432
Al,26.981538,184,1.61,5.986,0.441,57.8,0.015026044,0.015026044,2,2,0.015026044,15.02604373
Zn,65.4,139,1.65,9.394,0,38.67,0.012116407,0.012116407,4,8,0.012116407,12.11640688
Mg,24.305,173,1.31,7.646,0,71.2,0.016153865,0.016153865,2,4,0.016153865,16.15386465
Mg,24.305,173,1.31,7.646,0,71.2,0.015190921,0.015190921,2,2,0.015190921,15.19092131
Al,26.981538,184,1.61,5.986,0.441,57.8,0.014156427,0.014156427,4,4,0.014156427,14.15642661
Al,26.981538,184,1.61,5.986,0.441,57.8,0.018287531,0.018287531,3,1,0.018287531,18.28753112
Sb,121.76,206,2.05,8.64,1.07,43,0.010201988,0.010201988,12,6,0.010201988,10.20198827
Cd,112.41,158,1.69,8.994,0,46,0.008458926,0.008458926,1,3,0.008458926,8.458925609
La,138.9055,240,1.1,5.577,0.5,215,0.020798402,0.020798402,1,3,0.020798402,20.79840212
Mg,24.305,173,1.31,7.646,0,71.2,0.01674791,0.01674791,4,2,0.01674791,16.74790993
In,114.818,193,1.78,5.786,0.3,65,0.013795038,0.013795038,5,4,0.013795038,13.79503812
Au,196.96657,166,2.54,9.226,2.309,36.06,0.009472878,0.009472878,1,1,0.009472878,9.472878447
N,14.007,155,3.04,14.534,0,7.4,0.007585754,0.007585754,3,1,0.007585754,7.585753534
In,114.818,193,1.78,5.786,0.3,65,0.009862981,0.009862981,1,3,0.009862981,9.862980509
Mg,24.305,173,1.31,7.646,0,71.2,0.015721097,0.015721097,3,3,0.015721097,15.72109708
O,15.999,152,3.44,13.618,1.461,5.3,0.00096509,0.00096509,1,8,0.00096509,0.965089649
Np,237.048172,221,1.36,6.266,0,160,0.011814927,0.011814927,1,3,0.011814927,11.81492689
B,10.81,192,2.04,8.298,0.277,20.5,0.001234365,0.001234365,2,1,0.001234365,1.234364603
Cd,112.41,158,1.69,8.994,0,46,0.012928472,0.012928472,2,2,0.012928472,12.92847161
P,30.973762,180,2.19,10.487,0.746,25,0.003202053,0.003202053,2,6,0.003202053,3.202052936
Au,196.96657,166,2.54,9.226,2.309,36.06,0.013998299,0.013998299,3,1,0.013998299,13.99829896
Tl,204.383,196,1.62,6.108,0.2,66,0.016193141,0.016193141,1,1,0.016193141,16.19314134
Sn,118.71,217,1.96,7.344,1.2,53,0.010851495,0.010851495,14,6,0.010851495,10.85149503
Pb,207,202,2.33,7.417,0.36,57,0.011404693,0.011404693,7,2,0.011404693,11.40469335
Mg,24.305,173,1.31,7.646,0,71.2,0.015891238,0.015891238,1,1,0.015891238,15.89123835
O,15.999,152,3.44,13.618,1.461,5.3,0.00096003,0.00096003,2,4,0.00096003,0.96003029
H,1.008,120,2.2,13.598,0.754,4.50711,0.01054176,0.01054176,1,1,0.01054176,10.54176037
Mg,24.305,173,1.31,7.646,0,71.2,0.017316298,0.017316298,3,1,0.017316298,17.31629793
W,183.84,210,2.36,7.98,0.815,68,0.003471147,0.003471147,1,3,0.003471147,3.471146761
B,10.81,192,2.04,8.298,0.277,20.5,0.002580387,0.002580387,2,18,0.002580387,2.580387498
P,30.973762,180,2.19,10.487,0.746,25,0.001566889,0.001566889,4,20,0.001566889,1.566888629
Re,186.207,217,1.9,7.88,0.15,62,0.004188088,0.004188088,1,3,0.004188088,4.188087647
Mg,24.305,173,1.31,7.646,0,71.2,0.016039955,0.016039955,2,4,0.016039955,16.03995522
Mg,24.305,173,1.31,7.646,0,71.2,0.017738662,0.017738662,5,1,0.017738662,17.73866155
N,14.007,155,3.04,14.534,0,7.4,0.007366388,0.007366388,3,2,0.007366388,7.366388018
B,10.81,192,2.04,8.298,0.277,20.5,0.007585805,0.007585805,4,12,0.007585805,7.585805314
Pu,244.0642,243,1.28,6.06,0,145,0.017418841,0.017418841,3,1,0.017418841,17.41884132
Ge,72.63,211,2.01,7.9,1.35,40,0.012173487,0.012173487,3,1,0.012173487,12.17348655
O,15.999,152,3.44,13.618,1.461,5.3,0.000815539,0.000815539,1,8,0.000815539,0.815539229
Ga,69.723,187,1.81,5.999,0.3,50,0.003381125,0.003381125,4,2,0.003381125,3.381125231
Be,9.012183,153,1.57,9.323,0,37.74,0.003699185,0.003699185,2,2,0.003699185,3.699185419
Mg,24.305,173,1.31,7.646,0,71.2,0.015857748,0.015857748,3,3,0.015857748,15.85774817
P,30.973762,180,2.19,10.487,0.746,25,0.003211982,0.003211982,12,28,0.003211982,3.211981625
Ag,107.868,172,1.93,7.576,1.302,55,0.011748702,0.011748702,6,4,0.011748702,11.74870221
O,15.999,152,3.44,13.618,1.461,5.3,0.009150625,0.009150625,68,34,0.009150625,9.150625251
F,18.99840316,135,3.98,17.423,3.339,3.74,0.009462574,0.009462574,1,1,0.009462574,9.462573693
Cr,51.996,189,1.66,6.767,0.666,83,0.001692833,0.001692833,3,1,0.001692833,1.692832591
Tl,204.383,196,1.62,6.108,0.2,66,0.010645902,0.010645902,1,3,0.010645902,10.64590248
Pm,144.91276,236,0,5.55,0,200,0.031451888,0.031451888,1,3,0.031451888,31.45188762
Mg,24.305,173,1.31,7.646,0,71.2,0.010112955,0.010112955,1,149,0.010112955,10.11295485
Pt,195.08,209,2.28,9,2.128,48,0.014011933,0.014011933,3,1,0.014011933,14.01193293
O,15.999,152,3.44,13.618,1.461,5.3,0.00075334,0.00075334,1,8,0.00075334,0.75333982