Structure,Total Sites,Li Sites,Diff Energy,Diff per Total Sites,Diff per Li Sites,Composition
Li6 Ge6,12,6.0,0.016009939077337006,0.0013341615897780837,0.0026683231795561675,Li6 Ge6
Li3 Mg3,6,3.0,0.0999440390946256,0.016657339849104266,0.03331467969820853,Li3 Mg3
Li2 B2,4,2.0,0.0043517181353369995,0.0010879295338342499,0.0021758590676684997,Li2 B2
Li2 Si2,4,2.0,0.004791784060483348,0.001197946015120837,0.002395892030241674,Li2 Si2
Li1 Cl1,2,1.0,0.0139269143521373,0.00696345717606865,0.0139269143521373,Li1 Cl1
Li1 Mn1,2,1.0,0.0062980092195154495,0.0031490046097577247,0.0062980092195154495,Li1 Mn1
Li1 Pd1,2,1.0,0.02576991108884815,0.012884955544424075,0.02576991108884815,Li1 Pd1
Li4 B4,8,4.0,0.08703198760836865,0.010878998451046082,0.021757996902092163,Li4 B4
Li1 Hg1,2,1.0,0.013680092865284798,0.006840046432642399,0.013680092865284798,Li1 Hg1
Li2 Mg2,4,2.0,0.06636425301353155,0.016591063253382887,0.033182126506765774,Li2 Mg2
Li8 P8,16,8.0,0.1282662799641775,0.008016642497761094,0.016033284995522187,Li8 P8
Li12 Al12,24,12.0,0.32411148926245403,0.013504645385935585,0.02700929077187117,Li12 Al12
Li2 Mg2,4,2.0,0.0140448123179793,0.003511203079494825,0.00702240615898965,Li2 Mg2
Li3 Sn3,6,3.0,0.009352016835654252,0.001558669472609042,0.003117338945218084,Li3 Sn3
Li1 F1,2,1.0,0.0162575353843133,0.00812876769215665,0.0162575353843133,Li1 F1
Li1 Pb1,2,1.0,0.015397469825423948,0.007698734912711974,0.015397469825423948,Li1 Pb1
Li2 B2,4,2.0,0.0056565240901932014,0.0014141310225483004,0.0028282620450966007,Li2 B2
Li2 Br2,4,2.0,0.01794241083147685,0.004485602707869213,0.008971205415738426,Li2 Br2
Li12 Tl12,24,12.0,0.3180004948687095,0.013250020619529563,0.026500041239059125,Li12 Tl12
Li1 Pd1,2,1.0,0.0279231725025413,0.01396158625127065,0.0279231725025413,Li1 Pd1
Li1 Tl1,2,1.0,0.0323862826814628,0.0161931413407314,0.0323862826814628,Li1 Tl1
Li1 U1,2,1.0,0.03134938936111535,0.015674694680557676,0.03134938936111535,Li1 U1
Li1 I1,2,1.0,0.009471474845232449,0.004735737422616224,0.009471474845232449,Li1 I1
Li8 Ge8,16,8.0,0.021851838263821997,0.0013657398914888748,0.0027314797829777497,Li8 Ge8
Li1 H1,2,1.0,0.02108352073790845,0.010541760368954226,0.02108352073790845,Li1 H1
Li2 Ag2,4,2.0,0.0449016781857745,0.011225419546443625,0.02245083909288725,Li2 Ag2
Li2 C2,4,2.0,0.03042046559117805,0.007605116397794513,0.015210232795589026,Li2 C2
Li1 Ir1,2,1.0,0.026047176733259052,0.013023588366629526,0.026047176733259052,Li1 Ir1
Li1 Mg1,2,1.0,0.0070161621977973005,0.0035080810988986503,0.0070161621977973005,Li1 Mg1
Li2 Mg2,4,2.0,0.0607636852332408,0.0151909213083102,0.0303818426166204,Li2 Mg2
Li2 Cd2,4,2.0,0.051713886455840394,0.012928471613960098,0.025856943227920197,Li2 Cd2
Li2 Al2,4,2.0,0.06010417491984729,0.015026043729961823,0.030052087459923646,Li2 Al2
Li1 Bi1,2,1.0,0.015541819627032199,0.007770909813516099,0.015541819627032199,Li1 Bi1
Li4 Al4,8,4.0,0.11325141291626581,0.014156426614533226,0.028312853229066452,Li4 Al4
Li2 F2,4,2.0,0.028453408812655102,0.007113352203163776,0.014226704406327551,Li2 F2
Li4 Tl4,8,4.0,0.09677199779543005,0.012096499724428757,0.024192999448857513,Li4 Tl4
Li2 Be2,4,2.0,0.0425110944982542,0.01062777362456355,0.0212555472491271,Li2 Be2
Li1 Pt1,2,1.0,0.019681931533435948,0.009840965766717974,0.019681931533435948,Li1 Pt1
Li1 Pa1,2,1.0,0.034295352769789844,0.017147676384894922,0.034295352769789844,Li1 Pa1
Li4 S4,8,4.0,0.04465548203896375,0.005581935254870469,0.011163870509740938,Li4 S4
Li1 S1,2,1.0,0.011404670375180549,0.005702335187590274,0.011404670375180549,Li1 S1
Li1 Hf1,2,1.0,0.0283277837966577,0.01416389189832885,0.0283277837966577,Li1 Hf1
Li1 Be1,2,1.0,0.032955255096836,0.016477627548418,0.032955255096836,Li1 Be1
Li1 Rh1,2,1.0,0.03339805003399365,0.016699025016996823,0.03339805003399365,Li1 Rh1
Li1 Mg1,2,1.0,0.006927551107954202,0.003463775553977101,0.006927551107954202,Li1 Mg1
Li4 B4,8,4.0,0.040598132506317046,0.005074766563289631,0.010149533126579261,Li4 B4
Li2 I2,4,2.0,0.013614630300938102,0.0034036575752345254,0.006807315150469051,Li2 I2
Li3 Mg3,6,3.0,0.09044852976105264,0.01507475496017544,0.03014950992035088,Li3 Mg3
Li1 Ag1,2,1.0,0.0230845134592721,0.01154225672963605,0.0230845134592721,Li1 Ag1
Li2 Zn2,4,2.0,0.05004179919213696,0.01251044979803424,0.02502089959606848,Li2 Zn2
Li1 Au1,2,1.0,0.018945756893012047,0.009472878446506024,0.018945756893012047,Li1 Au1
Li1 Au1,2,1.0,0.01739084302286055,0.008695421511430275,0.01739084302286055,Li1 Au1
Li1 F1,2,1.0,0.018925147385697602,0.009462573692848801,0.018925147385697602,Li1 F1
Li4 N4,8,4.0,0.04504142915507975,0.005630178644384969,0.011260357288769937,Li4 N4
Li2 Fe2,4,2.0,0.0126791242581425,0.003169781064535625,0.00633956212907125,Li2 Fe2
Li3 Mg3,6,3.0,0.10309798278878339,0.017182997131463897,0.034365994262927795,Li3 Mg3
Li3 Mg3,6,3.0,0.09158730263421185,0.015264550439035308,0.030529100878070616,Li3 Mg3
Li3 Mg3,6,3.0,0.09432658248097085,0.015721097080161808,0.031442194160323615,Li3 Mg3
Li8 As8,16,8.0,0.11822786943350101,0.007389241839593813,0.014778483679187627,Li8 As8
Li1 S1,2,1.0,0.015341901967986401,0.0076709509839932005,0.015341901967986401,Li1 S1
Li1 Mg1,2,1.0,0.0317824767048793,0.01589123835243965,0.0317824767048793,Li1 Mg1
Li2 Cl2,4,2.0,0.01880159951239145,0.004700399878097863,0.009400799756195725,Li2 Cl2
Li2 In2,4,2.0,0.05644480434389841,0.014111201085974603,0.028222402171949205,Li2 In2
Li8 Si8,16,8.0,0.12015035383644299,0.007509397114777687,0.015018794229555373,Li8 Si8
Li1 Mg1,2,1.0,0.03192075431352745,0.015960377156763725,0.03192075431352745,Li1 Mg1
Li3 Mg3,6,3.0,0.09514648900426889,0.015857748167378147,0.031715496334756295,Li3 Mg3
Li2 I2,4,2.0,0.019363476359047796,0.004840869089761949,0.009681738179523898,Li2 I2
Li6 Sn6,12,6.0,0.019685781076979145,0.0016404817564149288,0.0032809635128298576,Li6 Sn6
Li1 N1,2,1.0,0.011449807358887249,0.0057249036794436246,0.011449807358887249,Li1 N1
Li2 Ga2,4,2.0,0.017350068829686698,0.004337517207421674,0.008675034414843349,Li2 Ga2
Li1 Br1,2,1.0,0.013456521108307092,0.006728260554153546,0.013456521108307092,Li1 Br1
Li2 B2,4,2.0,0.043400570156634295,0.010850142539158574,0.021700285078317148,Li2 B2
Li2 , 2, 2.0,0.03826733769244775, 0.019133668846223875, 0.019133668846223875, Li2
Li4, 4,4.0, 0.078350958813319, 0.01958773970332975, 0.01958773970332975, Li4